Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,Date
USA,"83,688,188",,"1,024,752 ",,"81,019,770",,"1,643,666","1,714","250,121","3,063","1,012,201,393","3,025,189","334,591,157 ",North America,4,327,0.0,,,"4,912",5/10/2022
India,"43,107,689",,"524,103 ",,"42,563,949",,"19,637",698,"30,680",373,"841,514,701","598,905","1,405,087,832 ",Asia,33,"2,681",2.0,,,14,5/10/2022
Brazil,"30,574,245",,"664,248 ",,"29,652,018",,"257,979","8,318","141,973","3,084","63,776,166","296,147","215,352,893 ",South America,7,324,3.0,,,"1,198",5/10/2022
France,"28,964,775",,"146,856 ",,"27,669,443",,"1,148,476","1,408","441,937","2,241","269,816,888","4,116,794","65,540,535 ",Europe,2,446,0.0,,,"17,523",5/10/2022
Germany,"25,385,707",,"137,020 ",,"23,536,900","+163,700","1,711,787","1,279","301,210","1,626","122,332,384","1,451,513","84,279,230 ",Europe,3,615,1.0,,,"20,311",5/10/2022
UK,"22,140,287",,"176,424 ",,"21,558,361",,"405,502",253,"323,002","2,574","519,264,096","7,575,488","68,545,304 ",Europe,3,389,0.0,,,"5,916",5/10/2022
Russia,"18,237,227","+4,531","377,150 ",101.0,"17,614,371","+5,014","245,706","2,300","124,870","2,582","273,400,000","1,871,960","146,050,144 ",Europe,8,387,1.0,31,0.7,"1,682",5/10/2022
S. Korea,"17,614,895","+49,896","23,462 ",62.0,,,,398,"343,031",457,"15,804,065","307,767","51,350,755 ",Asia,3,"2,189",3.0,972,1.0,"323,694",5/10/2022
Italy,"16,816,419",,"164,573 ",,"15,548,091",,"1,103,755",363,"278,891","2,729","216,195,210","3,585,477","60,297,475 ",Europe,4,366,0.0,,,"18,305",5/10/2022
Turkey,"15,044,921",,"98,854 ",,"14,942,882",,"3,185",975,"174,907","1,149","159,961,399","1,859,652","86,016,859 ",Asia,6,870,1.0,,,37,5/10/2022
Spain,"12,009,059",,"104,869 ",,"11,467,015",,"437,175",339,"256,668","2,241","471,036,328","10,067,405","46,788,257 ",Europe,4,446,0.0,,,"9,344",5/10/2022
Vietnam,"10,681,214","+2,855","43,058 ",1.0,"9,324,934","+2,769","1,313,222",363,"107,937",435,"85,806,031","867,097","98,957,769 ",Asia,9,"2,298",1.0,29,0.01,"13,271",5/10/2022
Argentina,"9,101,319",,"128,729 ",,"8,895,999",,"76,591",372,"198,016","2,801","35,716,069","777,070","45,962,514 ",South America,5,357,1.0,,,"1,666",5/10/2022
Japan,"8,133,197","+33,664","29,843 ",30.0,"7,784,155","+36,479","319,199",158,"64,672",237,"49,702,654","395,216","125,760,754 ",Asia,15,"4,214",3.0,268,0.2,"2,538",5/10/2022
Netherlands,"8,063,029","+1,586","22,281 ",3.0,"7,966,635","+7,168","74,113",55,"468,646","1,295","21,107,399","1,226,820","17,204,964 ",Europe,2,772,1.0,92,0.2,"4,308",5/10/2022
Iran,"7,226,219",+460,"141,192 ",3.0,"7,010,698","+2,467","74,329",836,"84,045","1,642","51,582,635","599,935","85,980,409 ",Asia,12,609,2.0,5,0.03,864,5/10/2022
Australia,"6,334,600","+47,724","7,559 ",43.0,"5,940,461",,"386,580",123,"243,200",290,"70,112,622","2,691,788","26,046,859 ",Australia/Oceania,4,"3,446",0.0,"1,832",2.0,"14,842",5/10/2022
Colombia,"6,093,645",,"139,809 ",,"5,927,076",,"26,760",342,"117,444","2,695","34,560,302","666,087","51,885,545 ",South America,9,371,2.0,,,516,5/10/2022
Indonesia,"6,049,141",+456,"156,416 ",20.0,"5,886,870",+659,"5,855","2,771","21,692",561,"96,701,485","346,761","278,870,828 ",Asia,46,"1,783",3.0,2,0.07,21,5/10/2022
Poland,"6,001,327",+727,"116,150 ",12.0,"5,334,983",+50,"550,194","1,125","158,891","3,075","36,178,272","957,858","37,769,984 ",Europe,6,325,1.0,19,0.3,"14,567",5/10/2022
Mexico,"5,745,652",+424,"324,465 ",2.0,"5,044,893",+776,"376,294","4,798","43,714","2,469","15,855,490","120,632","131,437,113 ",North America,23,405,8.0,3,0.02,"2,863",5/10/2022
Ukraine,"5,006,460",,"108,449 ",,,,,177,"115,761","2,508","19,521,252","451,378","43,248,123 ",Europe,9,399,2.0,,,"19,423",5/10/2022
Malaysia,"4,461,135",,"35,584 ",,"4,403,183",,"22,368",69,"134,645","1,074","58,962,005","1,779,576","33,132,619 ",Asia,7,931,1.0,,,675,5/10/2022
Thailand,"4,337,568","+6,230","29,199 ",53.0,"4,228,370","+11,132","79,999","1,496","61,856",416,"17,270,775","246,290","70,123,780 ",Asia,16,"2,402",4.0,89,0.8,"1,141",5/10/2022
Austria,"4,189,700","+4,022","18,271 ",22.0,"4,106,651","+5,693","64,778",79,"460,336","2,007","184,388,182","20,259,310","9,101,405 ",Europe,2,498,0.0,442,2.0,"7,117",5/10/2022
Israel,"4,095,432",,"10,741 ",,"4,052,605",,"32,086",150,"439,141","1,152","41,373,364","4,436,346","9,326,000 ",Asia,2,868,0.0,,,"3,440",5/10/2022
Belgium,"4,088,336",,"31,552 ",,"3,897,892","+6,501","158,892",124,"349,943","2,701","33,714,218","2,885,781","11,682,874 ",Europe,3,370,0.0,,,"13,600",5/10/2022
Portugal,"3,935,932",,"22,420 ",,,,,61,"388,092","2,211","41,591,184","4,100,987","10,141,750 ",Europe,3,452,0.0,,,"102,284",5/10/2022
Czechia,"3,913,356",+865,"40,229 ",1.0,"3,866,199","+1,408","6,928",14,"364,178","3,744","55,288,462","5,145,166","10,745,710 ",Europe,3,267,0.0,80,0.09,645,5/10/2022
South Africa,"3,844,625",,"100,533 ",,"3,680,855",,"63,237",192,"63,347","1,656","24,675,963","406,583","60,691,077 ",Africa,16,604,2.0,,,"1,042",5/10/2022
Canada,"3,795,258",,"39,787 ",,"3,484,305",,"271,166",423,"98,954","1,037","61,226,715","1,596,360","38,353,949 ",North America,10,964,1.0,,,"7,070",5/10/2022
Philippines,"3,687,320",+127,"60,439 ",,"3,623,243",+391,"3,638",289,"32,841",538,"29,743,235","264,909","112,277,342 ",Asia,30,"1,858",4.0,1,,32,5/10/2022
Switzerland,"3,631,881","+1,740","13,882 ",,"3,530,433","+9,470","87,566",78,"414,048","1,583","20,927,607","2,385,827","8,771,636 ",Europe,2,632,0.0,198,,"9,983",5/10/2022
Chile,"3,581,374",,"57,639 ",,"3,450,917",,"72,818",173,"184,421","2,968","37,396,520","1,925,713","19,419,573 ",South America,5,337,1.0,,,"3,750",5/10/2022
Peru,"3,570,075",,"212,957 ",,,,,254,"105,558","6,297","30,075,629","889,261","33,820,934 ",South America,9,159,1.0,,,"48,386",5/10/2022
Greece,"3,364,598",,"29,417 ",,"3,272,990",,"62,191",198,"325,745","2,848","80,612,777","7,804,549","10,328,947 ",Europe,3,351,0.0,,,"6,021",5/10/2022
Denmark,"2,973,651",+922,"6,252 ",8.0,"2,955,994","+1,350","11,405",6,"510,068","1,072","127,306,349","21,836,753","5,829,912 ",Europe,2,932,0.0,158,1.0,"1,956",5/10/2022
Romania,"2,900,375",+812,"65,581 ",14.0,"2,606,660",,"228,134",153,"152,647","3,452","22,872,014","1,203,759","19,000,495 ",Europe,7,290,1.0,43,0.7,"12,007",5/10/2022
Sweden,"2,503,090",,"18,791 ",,"2,474,725",,"9,574",16,"245,024","1,839","18,534,055","1,814,273","10,215,691 ",Europe,4,544,1.0,,,937,5/10/2022
Iraq,"2,325,740",,"25,214 ",,"2,299,326",,"1,200",9,"55,519",602,"18,503,660","441,714","41,890,619 ",Asia,18,"1,661",2.0,,,29,5/10/2022
Serbia,"2,010,495",,"16,033 ",,"1,983,725",,"10,737",16,"231,829","1,849","9,552,196","1,101,458","8,672,316 ",Europe,4,541,1.0,,,"1,238",5/10/2022
Bangladesh,"1,952,855",+26,"29,127 ",,"1,897,798",,"25,930","1,273","11,643",174,"14,027,750","83,637","167,722,764 ",Asia,86,"5,758",12.0,0.2,,155,5/10/2022
Hungary,"1,903,200",,"46,266 ",,"1,808,061",,"48,873",40,"197,941","4,812","11,355,462","1,181,014","9,615,007 ",Europe,5,208,1.0,,,"5,083",5/10/2022
Slovakia,"1,785,535",+349,"19,994 ",10.0,"1,756,592","+1,392","8,949",36,"326,750","3,659","7,117,625","1,302,513","5,464,531 ",Europe,3,273,1.0,64,2.0,"1,638",5/10/2022
Jordan,"1,694,216",,"14,048 ",,"1,678,941",,"1,227",124,"163,056","1,352","16,670,254","1,604,390","10,390,397 ",Asia,6,740,1.0,,,118,5/10/2022
Georgia,"1,655,221",,"16,811 ",,"1,637,293",,"1,117",,"416,407","4,229","16,920,079","4,256,611","3,975,012 ",Asia,2,236,0.0,,,281,5/10/2022
Pakistan,"1,528,831",+31,"30,375 ",,"1,494,141",,"4,315",103,"6,681",133,"28,263,598","123,519","228,820,099 ",Asia,150,"7,533",8.0,0.1,,19,5/10/2022
Ireland,"1,524,555",,"7,163 ",,"1,484,188","+1,410","33,204",32,"302,506","1,421","12,125,378","2,405,945","5,039,756 ",Europe,3,704,0.0,,,"6,588",5/10/2022
Norway,"1,428,335",,"3,006 ",,,,,20,"259,716",547,"11,002,430","2,000,583","5,499,613 ",Europe,4,"1,830",0.0,,,"242,995",5/10/2022
Kazakhstan,"1,305,603",+11,"13,661 ",,"1,291,371",+5,571,24,"68,029",712,"11,575,012","603,119","19,191,919 ",Asia,15,"1,405",2.0,0.6,,30,5/10/2022
Singapore,"1,220,193",,"1,352 ",,"1,150,366",,"68,475",6,"205,579",228,"23,767,171","4,004,303","5,935,407 ",Asia,5,"4,390",0.0,,,"11,537",5/10/2022
Hong Kong,"1,207,091",+273,"9,352 ",5.0,,,,5,"158,631","1,229","44,972,952","5,910,160","7,609,430 ",Asia,6,814,0.0,36,0.7,"155,663",5/10/2022
Morocco,"1,165,283",,"16,071 ",,"1,148,889",,323,293,"30,893",426,"11,237,010","297,911","37,719,362 ",Africa,32,"2,347",3.0,,,9,5/10/2022
Bulgaria,"1,159,925",,"36,994 ",,"991,826",,"131,105",73,"169,288","5,399","9,895,359","1,444,205","6,851,770 ",Europe,6,185,1.0,,,"19,134",5/10/2022
Croatia,"1,128,239",+440,"15,899 ",3.0,"1,108,233",+637,"4,107",15,"277,996","3,917","4,819,199","1,187,441","4,058,474 ",Europe,4,255,1.0,108,0.7,"1,012",5/10/2022
Cuba,"1,104,057",,"8,527 ",,"1,094,896",,634,23,"97,585",754,"12,920,253","1,141,987","11,313,836 ",North America,10,"1,327",1.0,,,56,5/10/2022
Lebanon,"1,097,575",,"10,400 ",,"1,084,103",,"3,072",186,"162,149","1,536","4,795,578","708,467","6,768,947 ",Asia,6,651,1.0,,,454,5/10/2022
Lithuania,"1,059,836",+239,"9,121 ",2.0,"1,030,233",+685,"20,482",12,"399,621","3,439","9,949,382","3,751,507","2,652,103 ",Europe,3,291,0.0,90,0.8,"7,723",5/10/2022
Finland,"1,052,767",,"4,150 ",,"46,000",,"1,002,617",21,"189,461",747,"10,773,620","1,938,876","5,556,632 ",Europe,5,"1,339",1.0,,,"180,436",5/10/2022
Tunisia,"1,040,712",,"28,566 ",,,,,29,"86,386","2,371","4,584,296","380,526","12,047,248 ",Africa,12,422,3.0,,,"-1,212.73",5/10/2022
Slovenia,"1,016,993",+982,"6,613 ",,"999,852","+1,558","10,528",22,"489,065","3,180","2,653,740","1,276,164","2,079,466 ",Europe,2,314,1.0,472,,"5,063",5/10/2022
New Zealand,"1,005,674","+9,257",826 ,14.0,"948,717","+6,111","56,131",,"201,050",165,"7,111,457","1,421,694","5,002,100 ",Australia/Oceania,5,"6,056",1.0,"1,851",3.0,"11,221",5/10/2022
Belarus,"982,867",+58,"6,978 ",4.0,"928,536",,"47,353",,"104,078",739,"13,220,483","1,399,944","9,443,577 ",Europe,10,"1,353",1.0,6,0.4,"5,014",5/10/2022
Nepal,"978,960",+12,"11,952 ",,"966,823",+17,185,,"32,518",397,"5,659,241","187,980","30,105,480 ",Asia,31,"2,519",5.0,0.4,,6,5/10/2022
Bolivia,"905,453",,"21,925 ",,"862,039",,"21,489",220,"75,660","1,832","2,705,422","226,066","11,967,379 ",South America,13,546,4.0,,,"1,796",5/10/2022
UAE,"900,764",+280,"2,302 ",,"884,771",+259,"13,691",,"89,085",228,"157,825,264","15,608,773","10,111,318 ",Asia,11,"4,392",0.0,28,,"1,354",5/10/2022
Uruguay,"899,723",,"7,210 ",,"888,557",,"3,956",18,"257,359","2,062","6,091,188","1,742,337","3,495,987 ",South America,4,485,1.0,,,"1,132",5/10/2022
Ecuador,"871,029",,"35,602 ",,,,,759,"48,022","1,963","2,470,170","136,185","18,138,300 ",South America,21,509,7.0,,,"21,587",5/10/2022
Costa Rica,"857,290",,"8,421 ",,"836,721",,"12,148",42,"165,496","1,626","4,291,131","828,385","5,180,118 ",North America,6,615,1.0,,,"2,345",5/10/2022
Guatemala,"849,552",,"17,703 ",,"829,658",,"2,191",5,"45,852",955,"4,507,334","243,270","18,528,136 ",North America,22,"1,047",4.0,,,118,5/10/2022
Latvia,"824,926",+291,"5,792 ",2.0,"814,721",+580,"4,413",9,"446,470","3,135","7,207,977","3,901,136","1,847,661 ",Europe,2,319,0.0,157,1.0,"2,388",5/10/2022
Azerbaijan,"792,638",+6,"9,709 ",,"782,869",+5,60,,"76,894",942,"6,838,458","663,404","10,308,136 ",Asia,13,"1,062",2.0,0.6,,6,5/10/2022
Panama,"789,830",,"8,194 ",,"767,904",,"13,732",16,"177,877","1,845","5,944,913","1,338,847","4,440,324 ",North America,6,542,1.0,,,"3,093",5/10/2022
Saudi Arabia,"756,549",+569,"9,104 ",,"742,782",+105,"4,663",49,"21,123",254,"42,027,011","1,173,411","35,816,111 ",Asia,47,"3,934",1.0,16,,130,5/10/2022
Sri Lanka,"663,580",+19,"16,509 ",,"646,149",+4,922,,"30,751",765,"6,486,117","300,572","21,579,239 ",Asia,33,"1,307",3.0,0.9,,43,5/10/2022
Paraguay,"649,718",,"18,872 ",,"624,673",,"6,173",2,"89,069","2,587","2,633,737","361,058","7,294,508 ",South America,11,387,3.0,,,846,5/10/2022
Kuwait,"631,898",,"2,555 ",,"628,946",,397,1,"144,028",582,"8,064,250","1,838,080","4,387,323 ",Asia,7,"1,717",1.0,,,90,5/10/2022
Myanmar,"613,056",,"19,434 ",,"591,981",,"1,641",,"11,129",353,"8,033,402","145,839","55,084,159 ",Asia,90,"2,834",7.0,,,30,5/10/2022
Palestine,"582,119",,"5,353 ",,"576,684",,82,17,"109,409","1,006","3,078,533","578,609","5,320,578 ",Asia,9,994,2.0,,,15,5/10/2022
Dominican Republic,"579,743",,"4,376 ",,"574,987",,380,1,"52,470",396,"3,288,872","297,662","11,049,025 ",North America,19,"2,525",3.0,,,34,5/10/2022
Estonia,"573,922","+1,490","2,556 ",8.0,"514,836","+2,979","56,530",3,"432,110","1,924","3,345,340","2,518,732","1,328,184 ",Europe,2,520,0.0,"1,122",6.0,"42,562",5/10/2022
Bahrain,"573,757",,"1,477 ",,"567,370",,"4,910",1,"316,845",816,"9,756,491","5,387,808","1,810,846 ",Asia,3,"1,226",0.0,,,"2,711",5/10/2022
Venezuela,"522,749",,"5,709 ",,"515,907",,"1,133",230,"18,480",202,"3,359,014","118,748","28,287,005 ",South America,54,"4,955",8.0,,,40,5/10/2022
Moldova,"516,986",,"11,489 ",,"504,142",,"1,355",49,"128,711","2,860","3,216,305","800,747","4,016,632 ",Europe,8,350,1.0,,,337,5/10/2022
Egypt,"515,645",,"24,613 ",,"442,182",,"48,850",122,"4,869",232,"3,693,367","34,875","105,901,978 ",Africa,205,"4,303",29.0,,,461,5/10/2022
Libya,"501,904",,"6,430 ",,"490,973",,"4,501",101,"71,252",913,"2,477,219","351,677","7,044,024 ",Africa,14,"1,095",3.0,,,639,5/10/2022
Cyprus,"477,711",,"1,032 ",,"124,370",,"352,309",60,"390,412",843,"9,477,138","7,745,240","1,223,608 ",Asia,3,"1,186",0.0,,,"287,926",5/10/2022
Ethiopia,"470,760",,"7,510 ",,"455,737",,"7,513",4,"3,916",62,"4,816,457","40,062","120,226,091 ",Africa,255,"16,009",25.0,,,62,5/10/2022
Mongolia,"469,885",,"2,179 ",,"313,256",,"154,450",192,"139,189",645,"4,030,048","1,193,777","3,375,879 ",Asia,7,"1,549",1.0,,,"45,751",5/10/2022
Taiwan,"448,323","+50,828",943 ,12.0,"39,254","+2,468","408,126",,"18,761",39,"15,584,088","652,150","23,896,469 ",Asia,53,"25,341",2.0,"2,127",0.5,"17,079",5/10/2022
Honduras,"424,365",,"10,895 ",,"132,358",,"281,112",105,"41,622","1,069","1,363,322","133,714","10,195,805 ",North America,24,936,7.0,,,"27,571",5/10/2022
Armenia,"422,896",,"8,623 ",,"412,048",,"2,225",,"142,222","2,900","3,068,217","1,031,860","2,973,482 ",Asia,7,345,1.0,,,748,5/10/2022
Réunion,"398,115",,756  ,,"383,424",,"13,935",10,"438,876",833,"1,603,660","1,767,849","907,125 ",Africa,2,"1,200",1.0,,,"15,362",5/10/2022
Oman,"389,325",+19,"4,259 ",,"384,516",+7,550,3,"72,817",797,"25,000,000","4,675,843","5,346,630 ",Asia,14,"1,255",0.0,4,,103,5/10/2022
Bosnia and Herzegovina,"377,385",+30,"15,773 ",2.0,"192,218",,"169,394",,"116,366","4,864","1,764,397","544,046","3,243,100 ",Europe,9,206,2.0,9,0.6,"52,232",5/10/2022
Qatar,"365,495",+161,677 ,,"363,974",+45,844,2,"130,171",241,"3,471,534","1,236,387","2,807,805 ",Asia,8,"4,147",1.0,57,,301,5/10/2022
Kenya,"323,900",,"5,649 ",,"318,084",,167,,"5,788",101,"3,618,007","64,653","55,960,335 ",Africa,173,"9,906",15.0,,,3,5/10/2022
Zambia,"320,157",,"3,982 ",,"315,733",,442,1,"16,558",206,"3,440,764","177,952","19,335,320 ",Africa,60,"4,856",6.0,,,23,5/10/2022
North Macedonia,"310,298",,"9,287 ",,"300,433",,578,,"148,951","4,458","2,027,591","973,298","2,083,216 ",Europe,7,224,1.0,,,277,5/10/2022
Botswana,"305,859",,"2,688 ",,"303,026",,145,1,"125,384","1,102","2,026,898","830,905","2,439,387 ",Africa,8,908,1.0,,,59,5/10/2022
Albania,"275,372",,"3,496 ",,"271,617",,259,2,"95,882","1,217","1,813,289","631,371","2,871,988 ",Europe,10,822,2.0,,,90,5/10/2022
Algeria,"265,800",,"6,875 ",,"178,365",,"80,560",6,"5,866",152,"230,861","5,095","45,314,686 ",Africa,170,"6,591",196.0,,,"1,778",5/10/2022
