Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,Date
Nigeria,"255,766",,"3,143 ",,"249,914",,"2,709",11,"1,186",15,"5,075,820","23,545","215,581,415 ",Africa,843,"68,591",42.0,,,13,5/10/2022
Zimbabwe,"248,536",,"5,479 ",,"242,118",,939,12,"16,284",359,"2,272,746","148,907","15,262,892 ",Africa,61,"2,786",7.0,,,62,5/10/2022
Luxembourg,"241,160",,"1,068 ",,"231,818",,"8,274",1,"374,006","1,656","4,238,251","6,572,939","644,803 ",Europe,3,604,0.0,,,"12,832",5/10/2022
Uzbekistan,"238,743",+7,"1,637 ",,"236,857",+4,249,23,"6,947",48,"1,377,915","40,095","34,365,886 ",Asia,144,"20,993",25.0,0.2,,7,5/10/2022
Montenegro,"235,837",,"2,717 ",,"232,501",,619,6,"375,409","4,325","2,460,465","3,916,609","628,213 ",Europe,3,231,0.0,,,985,5/10/2022
Mozambique,"225,430",,"2,201 ",,"223,169",,60,13,"6,857",67,"1,316,730","40,054","32,873,517 ",Africa,146,"14,936",25.0,,,2,5/10/2022
Laos,"208,848",+89,752 ,1.0,"7,660",,"200,436",,"27,956",101,"1,232,128","164,927","7,470,727 ",Asia,36,"9,934",6.0,12,0.1,"26,830",5/10/2022
Kyrgyzstan,"200,993",,"2,991 ",,"196,406",,"1,596",131,"29,896",445,"1,907,195","283,675","6,723,166 ",Asia,33,"2,248",4.0,,,237,5/10/2022
Iceland,"185,961",,119 ,,"75,685",,"110,157",,"538,491",345,"2,264,004","6,555,927","345,337 ",Europe,2,"2,902",0.0,,,"318,984",5/10/2022
Maldives,"179,483",,298 ,,"163,687",,"15,498",25,"321,572",534,"2,213,831","3,966,430","558,142 ",Asia,3,"1,873",0.0,,,"27,767",5/10/2022
Afghanistan,"179,017",,"7,685 ",,"162,001",,"9,331","1,124","4,415",190,"946,564","23,344","40,548,630 ",Asia,227,"5,276",43.0,,,230,5/10/2022
Uganda,"164,069",,"3,596 ",,"100,205",,"60,268",2,"3,389",74,"2,612,795","53,972","48,409,993 ",Africa,295,"13,462",19.0,,,"1,245",5/10/2022
El Salvador,"162,089",,"4,128 ",,"150,662",,"7,299",8,"24,759",631,"1,950,448","297,928","6,546,712 ",North America,40,"1,586",3.0,,,"1,115",5/10/2022
Ghana,"161,269",,"1,445 ",,"159,769",,55,1,"4,997",45,"2,441,112","75,642","32,271,739 ",Africa,200,"22,333",13.0,,,2,5/10/2022
Namibia,"159,278",,"4,027 ",,"153,662",,"1,589",,"60,655","1,534","1,013,304","385,879","2,625,961 ",Africa,16,652,3.0,,,605,5/10/2022
Martinique,"153,253",,926 ,,104,,"152,223",8,"408,972","2,471","828,928","2,212,085","374,727 ",North America,2,405,0.0,,,"406,224",5/10/2022
Trinidad and Tobago,"151,806",,"3,856 ",,"139,219",,"8,731",18,"107,827","2,739","717,879","509,906","1,407,866 ",North America,9,365,2.0,,,"6,202",5/10/2022
Brunei ,"143,372",+265,219 ,,"141,961",+125,"1,192",1,"322,023",492,"717,784","1,612,190","445,223 ",Asia,3,"2,033",1.0,595,,"2,677",5/10/2022
Guadeloupe,"140,130",,854 ,,"2,250",,"137,026",19,"350,106","2,134","938,039","2,343,633","400,250 ",North America,3,469,0.0,,,"342,351",5/10/2022
Cambodia,"136,262",,"3,056 ",,"133,184",+2,22,,"7,947",178,"2,957,913","172,506","17,146,706 ",Asia,126,"5,611",6.0,,,1,5/10/2022
Jamaica,"131,327",,"2,980 ",,"84,514",,"43,833",,"43,995",998,"1,021,789","342,301","2,985,062 ",North America,23,"1,002",3.0,,,"14,684",5/10/2022
Rwanda,"129,851",,"1,459 ",,"45,522",,"82,870",,"9,586",108,"5,311,117","392,093","13,545,557 ",Africa,104,"9,284",3.0,,,"6,118",5/10/2022
Cameroon,"119,780",,"1,927 ",,"117,791",,62,13,"4,314",69,"1,751,774","63,088","27,766,999 ",Africa,232,"14,409",16.0,,,2,5/10/2022
Angola,"99,194",,"1,900 ",,"97,149",,145,,"2,854",55,"1,499,795","43,153","34,755,245 ",Africa,350,"18,292",23.0,,,4,5/10/2022
Malta,"93,041",+123,713 ,2.0,"89,273",+167,"3,055",4,"209,685","1,607","1,898,387","4,278,373","443,717 ",Europe,5,622,0.0,277,5.0,"6,885",5/10/2022
DRC,"87,023",,"1,337 ",,"50,930",,"34,756",,920,14,"846,704","8,951","94,592,372 ",Africa,"1,087","70,750",112.0,,,367,5/10/2022
Senegal,"86,019",+3,"1,966 ",,"84,040",+2,13,,"4,899",112,"1,076,536","61,309","17,559,300 ",Africa,204,"8,931",16.0,0.2,,0.7,5/10/2022
Malawi,"85,811",,"2,634 ",,"82,082",,"1,095",67,"4,281",131,"576,432","28,759","20,043,436 ",Africa,234,"7,610",35.0,,,55,5/10/2022
Ivory Coast,"81,974",,799 ,,"81,162",,13,,"2,972",29,"1,507,385","54,644","27,585,396 ",Africa,337,"34,525",18.0,,,0.5,5/10/2022
French Guiana,"80,859",,395 ,,"11,254",,"69,210",2,"258,345","1,262","627,211","2,003,946","312,988 ",South America,4,792,0.0,,,"221,127",5/10/2022
Suriname,"79,393",,"1,328 ",,"49,402",,"28,663",,"133,132","2,227","236,066","395,851","596,350 ",South America,8,449,3.0,,,"48,064",5/10/2022
Channel Islands,"74,865",,172 ,,"73,987",,706,,"423,382",973,"1,252,808","7,084,976","176,826 ",Europe,2,"1,028",0.0,,,"3,993",5/10/2022
Barbados,"73,856",,430 ,,"69,468",,"3,958",,"256,422","1,493","660,727","2,293,992","288,025 ",North America,4,670,0.0,,,"13,742",5/10/2022
French Polynesia,"72,786",,648 ,,,,,7,"256,370","2,282",,,"283,910 ",Australia/Oceania,4,438,,,,"136,092",5/10/2022
Eswatini,"71,215",,"1,401 ",,"69,342",,472,11,"60,231","1,185","1,019,107","861,917","1,182,372 ",Africa,17,844,1.0,,,399,5/10/2022
Fiji,"64,725",,862 ,,"62,853",,"1,010",,"71,247",949,"508,406","559,638","908,455 ",Australia/Oceania,14,"1,054",2.0,,,"1,112",5/10/2022
Madagascar,"64,236",,"1,393 ",,"59,370",,"3,473",14,"2,215",48,"430,995","14,859","29,006,534 ",Africa,452,"20,823",67.0,,,120,5/10/2022
Guyana,"63,586",,"1,228 ",,"62,229",,129,,"80,127","1,547","604,718","762,023","793,569 ",South America,12,646,1.0,,,163,5/10/2022
Sudan,"62,149",,"4,935 ",,,,,,"1,359",108,"562,941","12,307","45,741,355 ",Africa,736,"9,269",81.0,,,369,5/10/2022
New Caledonia,"60,749",,312  ,,"60,231",,206,9,"209,067","1,074","98,964","340,583","290,572 ",Australia/Oceania,5,931,3.0,,,709,5/10/2022
Bhutan,"59,530",+18,21 ,,"59,247",+23,262,2,"75,611",27,"2,303,162","2,925,334","787,316 ",Asia,13,"37,491",0.0,23,,333,5/10/2022
Mauritania,"58,757",,982 ,,"57,704",,71,,"12,051",201,"809,795","166,095","4,875,505 ",Africa,83,"4,965",6.0,,,15,5/10/2022
Belize,"57,675",,676 ,,"56,717",,282,6,"140,339","1,645","545,431","1,327,180","410,970 ",North America,7,608,1.0,,,686,5/10/2022
Cabo Verde,"56,075",,401 ,,"55,579",,95,23,"98,871",707,"400,982","707,011","567,151 ",Africa,10,"1,414",1.0,,,168,5/10/2022
Syria,"55,858",,"3,150 ",,"52,343",,365,,"3,055",172,"146,269","7,999","18,286,318 ",Asia,327,"5,805",125.0,,,20,5/10/2022
Gabon,"47,608",,304 ,,"47,297",,7,,"20,496",131,"1,594,523","686,468","2,322,792 ",Africa,49,"7,641",1.0,,,3,5/10/2022
Papua New Guinea,"43,821",,650 ,,"43,133",,38,7,"4,732",70,"249,149","26,905","9,260,286 ",Australia/Oceania,211,"14,247",37.0,,,4,5/10/2022
Seychelles,"42,841",,166 ,,"42,223",,452,,"430,680","1,669",,,"99,473 ",Africa,2,599,,,,"4,544",5/10/2022
Curaçao,"42,567",,275 ,,"41,905",,387,3,"257,461","1,663","496,693","3,004,179","165,334 ",North America,4,601,0.0,,,"2,341",5/10/2022
Andorra,"41,717",,153 ,,"41,021",,543,14,"538,326","1,974","249,838","3,223,966","77,494 ",Europe,2,506,0.0,,,"7,007",5/10/2022
Burundi,"40,845",,38 ,,773,,"40,034",,"3,256",3,"345,742","27,560","12,545,140 ",Africa,307,"330,135",36.0,,,"3,191",5/10/2022
Mauritius,"37,809",+11,996 ,,"36,136",+28,677,,"29,639",781,"358,675","281,166","1,275,670 ",Africa,34,"1,281",4.0,9,,531,5/10/2022
Mayotte,"37,363",,187 ,,"2,964",,"34,212",,"131,107",656,"176,919","620,812","284,980 ",Africa,8,"1,524",2.0,,,"120,051",5/10/2022
Togo,"37,006",,273 ,,"36,713",,20,,"4,284",32,"733,441","84,915","8,637,308 ",Africa,233,"31,638",12.0,,,2,5/10/2022
Guinea,"36,459",,440 ,,"35,976",,43,8,"2,644",32,"660,107","47,865","13,791,047 ",Africa,378,"31,343",21.0,,,3,5/10/2022
Aruba,"35,189",,212 ,,"34,774",,203,,"327,023","1,970","177,885","1,653,145","107,604 ",North America,3,508,1.0,,,"1,887",5/10/2022
Faeroe Islands,"34,658",,28 ,,"7,693",,"26,937",5,"704,345",569,"778,000","15,811,080","49,206 ",Europe,1,"1,757",0.0,,,"547,433",5/10/2022
Tanzania,"33,872",,803 ,,,,,7,539,13,,,"62,878,120 ",Africa,"1,856","78,304",,,,523,5/10/2022
Bahamas,"33,748",,798 ,,"32,416",,534,,"84,330","1,994","229,817","574,268","400,191 ",North America,12,501,2.0,,,"1,334",5/10/2022
Lesotho,"32,910",,697 ,,"24,155",,"8,058",,"15,140",321,"431,221","198,386","2,173,646 ",Africa,66,"3,119",5.0,,,"3,707",5/10/2022
Mali,"30,940",,733 ,,"30,035",,172,,"1,451",34,"671,526","31,485","21,328,612 ",Africa,689,"29,098",32.0,,,8,5/10/2022
Haiti,"30,707",,835 ,,"29,562",,310,,"2,634",72,"132,422","11,357","11,659,503 ",North America,380,"13,963",88.0,,,27,5/10/2022
Isle of Man,"28,416",,87 ,,"26,794",,"1,535",,"330,938","1,013","150,753","1,755,698","85,865 ",Europe,3,987,1.0,,,"17,877",5/10/2022
Benin,"26,952",,163 ,,"25,506",,"1,283",5,"2,121",13,"604,310","47,546","12,709,988 ",Africa,472,"77,975",21.0,,,101,5/10/2022
Somalia,"26,485",,"1,350 ",,"13,182",,"11,953",,"1,585",81,"400,466","23,962","16,712,563 ",Africa,631,"12,380",42.0,,,715,5/10/2022
Congo,"24,079",,385 ,,"20,178",,"3,516",,"4,174",67,"347,815","60,289","5,769,088 ",Africa,240,"14,985",17.0,,,609,5/10/2022
Saint Lucia,"23,778",,368 ,,"23,030",,380,,"128,405","1,987","143,281","773,743","185,179 ",North America,8,503,1.0,,,"2,052",5/10/2022
Timor-Leste,"22,886",+1,130 ,,"22,730",,26,,"16,768",95,"264,143","193,531","1,364,860 ",Asia,60,"10,499",5.0,0.7,,19,5/10/2022
Cayman Islands,"22,828",,27 ,,"8,553",,"14,248",1,"339,960",402,"222,773","3,317,592","67,149 ",North America,3,"2,487",0.0,,,"212,185",5/10/2022
Burkina Faso,"20,853",,382 ,,"20,439",,32,,949,17,"248,995","11,337","21,962,437 ",Africa,"1,053","57,493",88.0,,,1,5/10/2022
Nicaragua,"18,491",,225 ,,"4,225",,"14,041",,"2,731",33,,,"6,770,262 ",North America,366,"30,090",,,,"2,074",5/10/2022
Gibraltar,"17,996",,102 ,,"16,579",,"1,315",,"534,450","3,029","534,283","15,867,278","33,672 ",Europe,2,330,0.0,,,"39,053",5/10/2022
South Sudan,"17,505",,138 ,,"13,514",,"3,853",1,"1,531",12,"385,179","33,680","11,436,344 ",Africa,653,"82,872",30.0,,,337,5/10/2022
Tajikistan,"17,388",,124 ,,"17,264",,0,,"1,750",12,,,"9,933,559 ",Asia,571,"80,109",,,,,5/10/2022
Liechtenstein,"17,292",+11,84 ,,"17,140",+10,68,,"451,135","2,191","102,174","2,665,640","38,330 ",Europe,2,456,0.0,287,,"1,774",5/10/2022
San Marino,"16,666",,115 ,,"16,302",,249,4,"489,270","3,376","152,231","4,469,101","34,063 ",Europe,2,296,0.0,,,"7,310",5/10/2022
Solomon Islands,"16,441",,144 ,,"14,797",,"1,500",1,"22,898",201,"5,117","7,127","718,013 ",Australia/Oceania,44,"4,986",140.0,,,"2,089",5/10/2022
Equatorial Guinea,"15,910",,183 ,,"15,701",,26,5,"10,691",123,"317,211","213,159","1,488,145 ",Africa,94,"8,132",5.0,,,17,5/10/2022
Djibouti,"15,631",,189 ,,"15,427",,15,,"15,407",186,"305,941","301,550","1,014,560 ",Africa,65,"5,368",3.0,,,15,5/10/2022
Grenada,"15,483",,220 ,,"14,408",,855,4,"136,430","1,939","153,692","1,354,270","113,487 ",North America,7,516,1.0,,,"7,534",5/10/2022
CAR,"14,649",,113 ,,"6,859",,"7,677",2,"2,939",23,"81,294","16,308","4,984,988 ",Africa,340,"44,115",61.0,,,"1,540",5/10/2022
Bermuda,"13,832",,131 ,,"13,289",,412,,"223,627","2,118","885,175","14,310,947","61,853 ",North America,4,472,0.0,,,"6,661",5/10/2022
Dominica,"12,493",,63 ,,"12,148",,282,,"172,753",871,"192,785","2,665,832","72,317 ",North America,6,"1,148",0.0,,,"3,899",5/10/2022
Gambia,"11,996",,365 ,,"11,591",,40,,"4,719",144,"155,686","61,243","2,542,122 ",Africa,212,"6,965",16.0,,,16,5/10/2022
Greenland,"11,971",,21 ,,"2,761",,"9,189",4,"210,195",369,"164,926","2,895,877","56,952 ",North America,5,"2,712",0.0,,,"161,346",5/10/2022
Monaco,"11,946",,54 ,,"11,796",,96,4,"300,483","1,358","54,960","1,382,433","39,756 ",Europe,3,736,1.0,,,"2,415",5/10/2022
Yemen,"11,819",,"2,149 ",,"9,009",,661,23,381,69,"265,253","8,546","31,040,020 ",Asia,"2,626","14,444",117.0,,,21,5/10/2022
Samoa,"10,926",,22 ,,"1,605",,"9,299",4,"54,399",110,"80,807","402,323","200,851 ",Australia/Oceania,18,"9,130",2.0,,,"46,298",5/10/2022
Tonga,"10,826",+61,11 ,,"9,705",+96,"1,110",,"100,324",102,"518,262","4,802,724","107,910 ",Australia/Oceania,10,"9,810",0.0,565,,"10,286",5/10/2022
Saint Martin,"10,537",,63 ,,"1,399",,"9,075",7,"264,185","1,580","112,382","2,817,651","39,885 ",North America,4,633,0.0,,,"227,529",5/10/2022
Sint Maarten,"10,123",,86 ,,"9,985",,52,10,"231,245","1,965","62,056","1,417,580","43,776 ",North America,4,509,1.0,,,"1,188",5/10/2022
Caribbean Netherlands,"9,902",,35 ,,"9,816",,51,,"371,223","1,312","30,126","1,129,414","26,674 ",North America,3,762,1.0,,,"1,912",5/10/2022
Eritrea,"9,738",,103 ,,"9,631",,4,,"2,677",28,"23,693","6,514","3,637,158 ",Africa,374,"35,312",154.0,,,1,5/10/2022
Niger,"8,986",,309 ,,"8,563",,114,1,348,12,"251,631","9,744","25,825,428 ",Africa,"2,874","83,577",103.0,,,4,5/10/2022
Guinea-Bissau,"8,215",,171 ,,"8,005",,39,6,"4,000",83,"135,624","66,030","2,053,962 ",Africa,250,"12,011",15.0,,,19,5/10/2022
Comoros,"8,100",,160 ,,"7,933",,7,,"8,962",177,,,"903,837 ",Africa,112,"5,649",,,,8,5/10/2022
Vanuatu,"8,056",,14 ,,"7,587",,455,,"25,143",44,"24,976","77,950","320,409 ",Australia/Oceania,40,"22,886",13.0,,,"1,420",5/10/2022
Sierra Leone,"7,682",,125 ,,,,,,928,15,"259,958","31,408","8,276,808 ",Africa,"1,077","66,214",32.0,,,331,5/10/2022
Antigua and Barbuda,"7,663",,137 ,,"7,471",,55,1,"77,071","1,378","18,901","190,097","99,428 ",North America,13,726,5.0,,,553,5/10/2022
Liberia,"7,434",,294 ,,"5,747",,"1,393",2,"1,409",56,"139,824","26,495","5,277,371 ",Africa,710,"17,950",38.0,,,264,5/10/2022
Chad,"7,414",,193 ,,"4,874",,"2,347",,429,11,"191,341","11,062","17,296,795 ",Africa,"2,333","89,621",90.0,,,136,5/10/2022
St. Vincent Grenadines,"6,792",,106 ,,"6,641",,45,,"60,865",950,"99,029","887,428","111,591 ",North America,16,"1,053",1.0,,,403,5/10/2022
British Virgin Islands,"6,467",,62 ,,,,,1,"211,319","2,026","103,397","3,378,656","30,603 ",North America,5,494,0.0,,,"4,183",5/10/2022
Turks and Caicos,"5,995",,36 ,,"5,918",,41,4,"151,065",907,"497,269","12,530,402","39,685 ",North America,7,"1,102",0.0,,,"1,033",5/10/2022
Sao Tome and Principe,"5,970",,73 ,,"5,891",,6,,"26,337",322,"29,036","128,092","226,681 ",Africa,38,"3,105",8.0,,,26,5/10/2022
Saint Kitts and Nevis,"5,591",,43 ,,"5,523",,25,,"103,739",798,"70,707","1,311,940","53,895 ",North America,10,"1,253",1.0,,,464,5/10/2022
Cook Islands,"5,306",,1 ,,"5,179",,126,,"301,580",57,"17,248","980,334","17,594 ",Australia/Oceania,3,"17,594",1.0,,,"7,162",5/10/2022
Palau,"4,732",,6 ,,"4,086",,640,1,"259,245",329,"47,272","2,589,821","18,253 ",Australia/Oceania,4,"3,042",0.0,,,"35,063",5/10/2022
St. Barth,"4,575",,6 ,,,,,,"460,586",604,"78,646","7,917,648","9,933 ",North America,2,"1,656",0.0,,,"413,470",5/10/2022
Kiribati,"3,093",,13 ,,"2,602",,478,3,"25,180",106,,,"122,837 ",Australia/Oceania,40,"9,449",,,,"3,891",5/10/2022
Anguilla,"2,788",,9 ,,"2,766",,13,4,"182,808",590,"51,382","3,369,091","15,251 ",North America,5,"1,695",0.0,,,852,5/10/2022
Saint Pierre Miquelon,"2,727",,1 ,,"2,449",,277,1,"474,922",174,"23,545","4,100,488","5,742 ",North America,2,"5,742",0.0,,,"48,241",5/10/2022
Diamond Princess,712,,13 ,,699,,0,,,,,, ,,,,,,,,5/10/2022
Montserrat,493,,2 ,,245,,246,,"98,639",400,"10,715","2,143,858","4,998 ",North America,10,"2,499",0.0,,,"49,220",5/10/2022
Wallis and Futuna,454,,7 ,,438,,9,,"41,747",644,"20,508","1,885,793","10,875 ",Australia/Oceania,24,"1,554",1.0,,,828,5/10/2022
Falkland Islands,197,, ,,,,,,"53,722",,"8,632","2,353,968","3,667 ",South America,19,,0.0,,,"19,907",5/10/2022
Macao,82,, ,,82,,0,,123,,"5,375","8,074","665,698 ",Asia,"8,118",,124.0,,,,5/10/2022
Vatican City,29,, ,,29,,0,,"36,025",,,,805 ,Europe,28,,,,,,5/10/2022
Marshall Islands,17,, ,,14,,3,,284,,,,"59,928 ",Australia/Oceania,"3,525",,,,,50,5/10/2022
Western Sahara,10,,1 ,,9,,0,,16,2,,,"624,480 ",Africa,"62,448","624,480",,,,,5/10/2022
MS Zaandam,9,,2 ,,7,,0,,,,,, ,,,,,,,,5/10/2022
Niue,9,, ,,8,,1,,"5,468",,,,"1,646 ",Australia/Oceania,183,,,,,608,5/10/2022
Micronesia,7,, ,,1,,6,,60,,,,"117,252 ",Australia/Oceania,"16,750",,,,,51,5/10/2022
Nauru,7,+1, ,,4,+1,3,,639,,,,"10,950 ",Australia/Oceania,"1,564",,,91,,274,5/10/2022
Saint Helena,2,, ,,2,,0,,327,,,,"6,110 ",Africa,"3,055",,,,,,5/10/2022
China,"220,397",+357,"5,191 ",6.0,"207,138","+1,019","8,068",511,153,4,"160,000,000","111,163","1,439,323,776  ",Asia,"6,531","277,273",9.0,0.2,,6,5/10/2022
